,Prob true,Prob pred,Cohort
0,0.125,0.1358326958926065,Training
1,0.09375,0.3060288448748363,Training
2,0.34285714285714286,0.4908916648392185,Training
3,0.5,0.6851601334696906,Training
4,0.7,0.8859185103225926,Training
0,0.1111111111111111,0.12491008819298195,Testing
1,0.16666666666666666,0.3250034117129848,Testing
2,0.4230769230769231,0.4740928228118234,Testing
3,0.4,0.6696944283876108,Testing
4,0.25,0.837737351953983,Testing
