,Prob true,Prob pred,Cohort
0,0.0,0.14977921462267968,Training
1,0.21212121212121213,0.3075718085405142,Training
2,0.3611111111111111,0.48462789433768333,Training
3,0.21052631578947367,0.681038208793816,Training
4,0.9230769230769231,0.8790107830077457,Training
0,0.125,0.16728313800533573,Testing
1,0.3333333333333333,0.2943783966560768,Testing
2,0.2857142857142857,0.5302431944956142,Testing
3,0.375,0.7078302671637312,Testing
4,0.0,0.8456038506545959,Testing
