,Training,Training,Training,Testing,Testing,Testing
,FPR,TPR,Threshold,FPR,TPR,Threshold
0,0.0,0.0,1.9425591873640338,0.0,0.0,1.9159307250668405
1,0.0,0.027777777777777776,0.9425591873640339,0.019230769230769232,0.0,0.9159307250668405
2,0.0,0.25,0.861413610107224,0.07692307692307693,0.0,0.8232643194262106
3,0.012345679012345678,0.25,0.8524298003142037,0.07692307692307693,0.14285714285714285,0.7840250940308497
4,0.012345679012345678,0.3333333333333333,0.8045376198487106,0.11538461538461539,0.14285714285714285,0.7780260883518051
5,0.024691358024691357,0.3333333333333333,0.7871860268967767,0.11538461538461539,0.19047619047619047,0.7765839662842288
6,0.024691358024691357,0.3611111111111111,0.7684337955233751,0.1346153846153846,0.19047619047619047,0.7597247993995703
7,0.07407407407407407,0.3611111111111111,0.7114645897103413,0.1346153846153846,0.23809523809523808,0.7525293895068149
8,0.07407407407407407,0.3888888888888889,0.7089640139449042,0.19230769230769232,0.23809523809523808,0.6761337796780951
9,0.08641975308641975,0.3888888888888889,0.7061586451809341,0.19230769230769232,0.2857142857142857,0.665039063192523
10,0.08641975308641975,0.4166666666666667,0.6926772594033439,0.2692307692307692,0.2857142857142857,0.6137733547151629
11,0.1111111111111111,0.4166666666666667,0.6633953105819903,0.2692307692307692,0.3333333333333333,0.606925072943524
12,0.1111111111111111,0.4444444444444444,0.6633090707727637,0.3269230769230769,0.3333333333333333,0.5921719309850292
13,0.19753086419753085,0.4444444444444444,0.6037064024526495,0.3269230769230769,0.38095238095238093,0.5892135159963011
14,0.19753086419753085,0.4722222222222222,0.5967370708099782,0.36538461538461536,0.38095238095238093,0.5777577417969755
15,0.2222222222222222,0.4722222222222222,0.58771048751884,0.36538461538461536,0.42857142857142855,0.547040370638472
16,0.2222222222222222,0.5,0.5835958393494536,0.38461538461538464,0.42857142857142855,0.5444480495166686
17,0.2345679012345679,0.5,0.5773128082829618,0.38461538461538464,0.47619047619047616,0.5331559376816569
18,0.2345679012345679,0.5833333333333334,0.5314087767972203,0.46153846153846156,0.47619047619047616,0.5197065074506801
19,0.25925925925925924,0.5833333333333334,0.5248255763031815,0.46153846153846156,0.5238095238095238,0.51235786502584
20,0.25925925925925924,0.6388888888888888,0.5145305688136556,0.5,0.5238095238095238,0.45504032287211743
21,0.2839506172839506,0.6388888888888888,0.5031982879437801,0.5,0.5714285714285714,0.4452653737625838
22,0.2839506172839506,0.6944444444444444,0.4853770497133976,0.5576923076923077,0.5714285714285714,0.4261927235482377
23,0.2962962962962963,0.6944444444444444,0.4756470949341847,0.5576923076923077,0.6190476190476191,0.3838540011696326
24,0.2962962962962963,0.7222222222222222,0.4753555968979453,0.5769230769230769,0.6190476190476191,0.3791392651703592
25,0.345679012345679,0.7222222222222222,0.44824021783802925,0.5769230769230769,0.7142857142857143,0.3438485055822256
26,0.345679012345679,0.75,0.4445872815364166,0.7115384615384616,0.7142857142857143,0.30017440387342015
27,0.37037037037037035,0.75,0.43991955889127804,0.7115384615384616,0.8095238095238095,0.2902441851682844
28,0.37037037037037035,0.8055555555555556,0.43868042657524453,0.7307692307692307,0.8095238095238095,0.28966551034727284
29,0.49382716049382713,0.8055555555555556,0.3935173486546618,0.7307692307692307,0.9523809523809523,0.26442421148700307
30,0.49382716049382713,0.8333333333333334,0.3922771568781182,0.9038461538461539,0.9523809523809523,0.1681100407208113
31,0.5185185185185185,0.8333333333333334,0.3859849104086921,0.9038461538461539,1.0,0.16513185985228193
32,0.5185185185185185,0.8611111111111112,0.38055140228376605,1.0,1.0,0.14119782748536658
33,0.5679012345679012,0.8611111111111112,0.3439956366237872,,,
34,0.5679012345679012,0.8888888888888888,0.34048637577032687,,,
35,0.6296296296296297,0.8888888888888888,0.3238093196061461,,,
36,0.6296296296296297,0.9166666666666666,0.3182418821149809,,,
37,0.654320987654321,0.9166666666666666,0.30128481342313246,,,
38,0.654320987654321,0.9444444444444444,0.29899750625084176,,,
39,0.7407407407407407,0.9444444444444444,0.2671889862991985,,,
40,0.7407407407407407,0.9722222222222222,0.2663792821565216,,,
41,0.7777777777777778,0.9722222222222222,0.22453086557384405,,,
42,0.7777777777777778,1.0,0.22272628867964714,,,
43,1.0,1.0,0.06515914373948775,,,
