,ICC,Lower,Higher
wavelet-HHH_ngtdm_Strength_32_binCount,0.8177946123792513,0.8039170815054376,0.830782170953069
log-sigma-5-mm-3D_firstorder_10Percentile_32_binCount,0.9110661974150488,0.90391653783813,0.9177068302445438
wavelet-LHL_glcm_JointAverage_32_binCount,0.2129450782457735,0.1739224357925785,0.2512992892805382
wavelet-HHH_firstorder_Skewness_32_binCount,0.0857592669329861,0.0454188274633256,0.1258216508968117
log-sigma-1-mm-3D_glcm_MCC_32_binCount,0.4417252431552533,0.4085342216431709,0.4737504347774418
