,Training,Training,Training,Testing,Testing,Testing
,FPR,TPR,Threshold,FPR,TPR,Threshold
0,0.0,0.0,1.7538255211790694,0.0,0.0,1.745066229317594
1,0.012345679012345678,0.0,0.7538255211790694,0.019230769230769232,0.0,0.745066229317594
2,0.012345679012345678,0.027777777777777776,0.7122127374990406,0.019230769230769232,0.14285714285714285,0.6925870767645581
3,0.024691358024691357,0.027777777777777776,0.7059728473639266,0.038461538461538464,0.14285714285714285,0.6870830922508825
4,0.024691358024691357,0.08333333333333333,0.6969961001630797,0.038461538461538464,0.19047619047619047,0.680124823181088
5,0.037037037037037035,0.08333333333333333,0.6950531477493457,0.07692307692307693,0.19047619047619047,0.664491350273999
6,0.037037037037037035,0.1111111111111111,0.6941187348945458,0.07692307692307693,0.23809523809523808,0.6519379113734346
7,0.06172839506172839,0.1111111111111111,0.6931937464646345,0.09615384615384616,0.23809523809523808,0.6513267953212215
8,0.06172839506172839,0.16666666666666666,0.6864627764765235,0.09615384615384616,0.42857142857142855,0.6385157177199027
9,0.07407407407407407,0.16666666666666666,0.6803502192831266,0.19230769230769232,0.42857142857142855,0.6089618239376415
10,0.07407407407407407,0.25,0.6700228139180084,0.19230769230769232,0.47619047619047616,0.6073829520439638
11,0.08641975308641975,0.25,0.6629734441395703,0.21153846153846154,0.47619047619047616,0.6039300142480629
12,0.08641975308641975,0.3055555555555556,0.6603119454945545,0.21153846153846154,0.5238095238095238,0.596336229633404
13,0.09876543209876543,0.3055555555555556,0.6602178884239878,0.25,0.5238095238095238,0.5662064083838967
14,0.09876543209876543,0.3611111111111111,0.6571679940427209,0.25,0.7142857142857143,0.5534025889786572
15,0.14814814814814814,0.3611111111111111,0.6418136116299107,0.3076923076923077,0.7142857142857143,0.5411229203818364
16,0.14814814814814814,0.4166666666666667,0.634457534100647,0.3076923076923077,0.7619047619047619,0.5309181924000456
17,0.16049382716049382,0.4166666666666667,0.6332429957870053,0.36538461538461536,0.7619047619047619,0.5108670483581259
18,0.16049382716049382,0.4444444444444444,0.628521883135756,0.36538461538461536,0.8095238095238095,0.5057715543554383
19,0.20987654320987653,0.4444444444444444,0.6215378591969842,0.40384615384615385,0.8095238095238095,0.49947273649420776
20,0.20987654320987653,0.5,0.6181376171150932,0.40384615384615385,0.8571428571428571,0.49755526801788935
21,0.2222222222222222,0.5,0.6152363054153696,0.5192307692307693,0.8571428571428571,0.47198408938350034
22,0.2222222222222222,0.5277777777777778,0.6149526723932595,0.5192307692307693,0.9047619047619048,0.47043016544304683
23,0.2345679012345679,0.5277777777777778,0.6140126069255352,0.6153846153846154,0.9047619047619048,0.4452670670792921
24,0.2345679012345679,0.5555555555555556,0.6117117605916225,0.6153846153846154,0.9523809523809523,0.4400534255279072
25,0.24691358024691357,0.5555555555555556,0.6057673925954172,0.9230769230769231,0.9523809523809523,0.21293483040265634
26,0.24691358024691357,0.5833333333333334,0.5970081093176841,0.9230769230769231,1.0,0.1651386095155551
27,0.2716049382716049,0.5833333333333334,0.5926317090506871,1.0,1.0,0.030099598035616282
28,0.2716049382716049,0.6111111111111112,0.5877069308232716,,,
29,0.32098765432098764,0.6111111111111112,0.5687150450689646,,,
30,0.32098765432098764,0.6388888888888888,0.5653831319117958,,,
31,0.3333333333333333,0.6388888888888888,0.5560058585104963,,,
32,0.3333333333333333,0.6666666666666666,0.553872697282369,,,
33,0.37037037037037035,0.6666666666666666,0.5348636061537674,,,
34,0.37037037037037035,0.7222222222222222,0.5180069688562225,,,
35,0.41975308641975306,0.7222222222222222,0.503054113928798,,,
36,0.41975308641975306,0.75,0.5023063800173166,,,
37,0.4691358024691358,0.75,0.48721249461355964,,,
38,0.4691358024691358,0.7777777777777778,0.48586051867276314,,,
39,0.5432098765432098,0.7777777777777778,0.4577852398082909,,,
40,0.5432098765432098,0.8055555555555556,0.4495134189081666,,,
41,0.5555555555555556,0.8055555555555556,0.447717840332611,,,
42,0.5555555555555556,0.8611111111111112,0.43651297664857963,,,
43,0.6296296296296297,0.8611111111111112,0.4015320541273683,,,
44,0.6296296296296297,0.9166666666666666,0.3951695655243666,,,
45,0.6790123456790124,0.9166666666666666,0.3711663844596919,,,
46,0.6790123456790124,0.9444444444444444,0.3663579064967238,,,
47,0.8024691358024691,0.9444444444444444,0.28274469718779194,,,
48,0.8024691358024691,0.9722222222222222,0.26706435040194665,,,
49,0.9259259259259259,0.9722222222222222,0.15379731138964156,,,
50,0.9259259259259259,1.0,0.14548698959926443,,,
51,1.0,1.0,0.040554549519394786,,,
