,Prob true,Prob pred,Cohort
0,0.08333333333333333,0.1277838533687512,Training
1,0.17391304347826086,0.318578983464636,Training
2,0.2619047619047619,0.5027654979281673,Training
3,0.5,0.6576992725005792,Training
0,0.2,0.10221790585237556,Testing
1,0.0,0.32465125980802967,Testing
2,0.30303030303030304,0.5056102189581096,Testing
3,0.47619047619047616,0.6525807860038948,Testing
