,ICC,Lower,Higher
original_shape_MajorAxisLength,0.9968355811128812,0.9965688396036256,0.9970816182642044
wavelet-LHH_firstorder_InterquartileRange_32_binCount,0.9415961637118956,0.9368197862016476,0.9460215098207369
log-sigma-5-mm-3D_firstorder_Range_32_binCount,0.9186837632371996,0.9121191921221606,0.9247773104574232
original_shape_Elongation,0.9469995952085044,0.9426524851405484,0.951025513196206
original_shape_Maximum2DDiameterColumn,0.9914155631115984,0.9906940332518188,0.9920813750357396
