number_all_features,volume_not_features,test-retest_ICC_average,perturbation_ICC_average,test-retest_vs_perturbation_ICC,ranking_concordance,test-retest>-1,perturbation>-1,tr+p+>-1,tr+p->-1,tr-p+>-1,tr-p->-1,test-retest>0.5,perturbation>0.5,tr+p+>0.5,tr+p->0.5,tr-p+>0.5,tr-p->0.5,test-retest>0.75,perturbation>0.75,tr+p+>0.75,tr+p->0.75,tr-p+>0.75,tr-p->0.75,test-retest>0.9,perturbation>0.9,tr+p+>0.9,tr+p->0.9,tr-p+>0.9,tr-p->0.9,test-retest>0.95,perturbation>0.95,tr+p+>0.95,tr+p->0.95,tr-p+>0.95,tr-p->0.95
1316.0,1120.0,0.514511383770316,0.7141332547516269,2.3631168196928327e-300,0.016539001659645093,1120.0,1120.0,1120.0,0.0,0.0,0.0,628.0,962.0,621.0,7.0,341.0,151.0,146.0,631.0,141.0,5.0,490.0,484.0,20.0,129.0,18.0,2.0,111.0,989.0,5.0,45.0,2.0,3.0,43.0,1072.0
,,,,,0.4071293591543489,1.0,1.0,1.0,0.0,0.0,0.0,0.5607142857142857,0.8589285714285714,0.5544642857142857,0.00625,0.3044642857142857,0.13482142857142856,0.13035714285714287,0.5633928571428571,0.12589285714285714,0.004464285714285714,0.4375,0.43214285714285716,0.017857142857142856,0.11517857142857142,0.01607142857142857,0.0017857142857142857,0.09910714285714285,0.8830357142857143,0.004464285714285714,0.04017857142857143,0.0017857142857142857,0.0026785714285714286,0.038392857142857145,0.9571428571428572
,,,,,,111.0,111.0,111.0,0.0,0.0,0.0,71.0,93.0,71.0,0.0,22.0,18.0,33.0,72.0,32.0,1.0,40.0,38.0,1.0,32.0,1.0,0.0,31.0,79.0,0.0,12.0,0.0,0.0,12.0,99.0
,,,,,,0.09910714285714285,0.09910714285714285,,,,,0.11305732484076433,0.09667359667359668,,,,,0.22602739726027396,0.11410459587955626,,,,,0.05,0.24806201550387597,,,,,0.0,0.26666666666666666,,,,
