,perturbation_icc0_perturbation_icc0.5_Training,perturbation_icc0_perturbation_icc0.5_Testing,perturbation_icc0_perturbation_icc0.75_Training,perturbation_icc0_perturbation_icc0.75_Testing,perturbation_icc0_perturbation_icc0.9_Training,perturbation_icc0_perturbation_icc0.9_Testing,perturbation_icc0_perturbation_icc0.95_Training,perturbation_icc0_perturbation_icc0.95_Testing,test_retest_icc0_test_retest_icc0.5_Training,test_retest_icc0_test_retest_icc0.5_Testing,test_retest_icc0_test_retest_icc0.75_Training,test_retest_icc0_test_retest_icc0.75_Testing,test_retest_icc0_test_retest_icc0.9_Training,test_retest_icc0_test_retest_icc0.9_Testing,test_retest_icc0_test_retest_icc0.95_Training,test_retest_icc0_test_retest_icc0.95_Testing,perturbation_icc0_test_retest_icc0_Training,perturbation_icc0_test_retest_icc0_Testing,perturbation_icc0.5_test_retest_icc0.5_Training,perturbation_icc0.5_test_retest_icc0.5_Testing,perturbation_icc0.75_test_retest_icc0.75_Training,perturbation_icc0.75_test_retest_icc0.75_Testing,perturbation_icc0.9_test_retest_icc0.9_Training,perturbation_icc0.9_test_retest_icc0.9_Testing,perturbation_icc0.95_test_retest_icc0.95_Training,perturbation_icc0.95_test_retest_icc0.95_Testing
AUC,0.007887517146776268,0.06227106227106227,0.01063100137174211,0.08516483516483508,0.04629629629629639,0.20146520146520142,0.05452674897119347,0.19597069597069594,0.026063100137174278,0.10989010989010983,0.031207133058984926,0.10531135531135527,0.06858710562414261,0.20604395604395598,0.09190672153635115,0.0347985347985349,0.001371742112482921,0.001831501831501825,0.03532235939643347,0.049450549450549386,0.04320987654320996,0.02197802197802201,0.023662551440329138,0.0064102564102563875,0.0387517146776406,0.15934065934065922
Accuracy,0.017094017094017144,0.06849315068493145,0.02564102564102566,0.041095890410958846,0.05128205128205121,0.15068493150684925,0.06837606837606836,0.15068493150684925,0.03418803418803418,0.0821917808219178,0.05982905982905984,0.06849315068493145,0.10256410256410253,0.0821917808219178,0.1282051282051282,0.0,0.0,0.0,0.05128205128205132,0.013698630136986356,0.0854700854700855,0.0273972602739726,0.05128205128205132,0.06849315068493145,0.05982905982905984,0.15068493150684925
Precision,0.020000000000000018,0.031868131868131866,0.03191489361702127,0.007142857142857173,0.051724137931034475,0.1607142857142857,0.06451612903225806,0.15793650793650793,0.041666666666666685,0.0728110599078341,0.06140350877192985,0.06806722689075628,0.08823529411764708,0.10431893687707644,0.12295081967213117,0.019047619047619035,0.0,0.0,0.0616666666666667,0.04094292803970223,0.09331840238895112,0.06092436974789911,0.0365111561866126,0.05639534883720926,0.05843469063987311,0.1388888888888889
Recall,0.08333333333333337,0.09523809523809529,0.05555555555555558,0.09523809523809529,0.08333333333333337,0.38095238095238093,0.11111111111111116,0.2857142857142857,0.02777777777777768,0.04761904761904756,0.05555555555555558,0.09523809523809523,0.13888888888888895,0.33333333333333326,0.0,0.09523809523809523,0.0,0.0,0.11111111111111105,0.14285714285714285,0.0,0.19047619047619052,0.05555555555555558,0.04761904761904767,0.11111111111111116,0.19047619047619047
