,ICC,Lower,Higher
original_glcm_ClusterShade_32_binCount,0.5294546663493356,0.49965617061073236,0.558001352576232
original_glcm_ClusterTendency_32_binCount,0.7114270601492899,0.6908268787507605,0.7308732777826605
original_glcm_Contrast_32_binCount,0.7534617129203967,0.7353953612090492,0.7704576381378911
original_glcm_Correlation_32_binCount,0.6738134328226096,0.6510761789005919,0.6953426417299219
original_glcm_DifferenceAverage_32_binCount,0.7696362116072956,0.7525894230054295,0.7856521514430526
original_glcm_DifferenceEntropy_32_binCount,0.7605641682806532,0.7429449644752096,0.77713026763997
original_glcm_DifferenceVariance_32_binCount,0.7550299255249575,0.7370617597177628,0.7719313950998596
original_glcm_Id_32_binCount,0.7673847523295808,0.7501964527565803,0.7835367933547486
original_glcm_Idm_32_binCount,0.7661208524264519,0.7488523961120948,0.7823498764536033
original_glcm_Idmn_32_binCount,0.7542978659274876,0.7362836388613402,0.7712436139560145
original_glcm_Idn_32_binCount,0.769932821617855,0.7529052001924833,0.7859304042068136
original_glcm_Imc1_32_binCount,0.8163484676583593,0.802373574215703,0.8294287838652972
original_glcm_Imc2_32_binCount,0.7338114244216949,0.714540681833875,0.7519694405828481
original_glcm_InverseVariance_32_binCount,0.6157918866618588,0.5899978024783175,0.6403303153698958
original_glcm_JointAverage_32_binCount,0.504291495345738,0.4734570968308178,0.5338918825140146
original_glcm_JointEnergy_32_binCount,0.6880501024437317,0.6661063745692866,0.7088038670865024
original_glcm_JointEntropy_32_binCount,0.7229815541326634,0.7030637302355003,0.7417661081249676
original_glcm_MCC_32_binCount,0.5028603161897353,0.4719635070038876,0.5325235455876322
original_glcm_MaximumProbability_32_binCount,0.6949019940530688,0.6733477989005381,0.7152761259716793
original_glcm_SumAverage_32_binCount,0.5042914968820239,0.4734570984258655,0.5338918839898347
original_glcm_SumEntropy_32_binCount,0.7185990172235065,0.6984212873030289,0.7376354587155104
original_glcm_SumSquares_32_binCount,0.7208750604319959,0.7008310723327231,0.7397817058439142
original_glrlm_GrayLevelNonUniformity_32_binCount,0.9971607982477888,0.9969214176240399,0.9973815909414819
original_glrlm_GrayLevelNonUniformityNormalized_32_binCount,0.6970573116920705,0.6756260752923378,0.7173116565274045
original_glrlm_GrayLevelVariance_32_binCount,0.7322201837206543,0.7128547336205243,0.7504699688168828
original_glrlm_HighGrayLevelRunEmphasis_32_binCount,0.524081601794875,0.4940628890400151,0.552852619689104
original_glrlm_LongRunEmphasis_32_binCount,0.8068459161916824,0.7922307305418231,0.8205360956078367
original_glrlm_LongRunHighGrayLevelEmphasis_32_binCount,0.49394950529290405,0.4626998759428352,0.5239734734468763
original_glrlm_LongRunLowGrayLevelEmphasis_32_binCount,0.5071129800101422,0.4763822600693263,0.5366059042917678
original_glrlm_LowGrayLevelRunEmphasis_32_binCount,0.26588653002339085,0.2278177568657789,0.3031429993587157
original_glrlm_RunEntropy_32_binCount,0.6251261221448967,0.5998024345490263,0.6491987039227922
original_glrlm_RunLengthNonUniformity_32_binCount,0.9564800622227771,0.9528911439711893,0.9598011725787305
original_glrlm_RunLengthNonUniformityNormalized_32_binCount,0.8053670917264042,0.79065282441503,0.8191517156278828
original_glrlm_RunPercentage_32_binCount,0.8138499139749366,0.7997051460033862,0.8270918210777212
original_glrlm_RunVariance_32_binCount,0.8055258349922756,0.7908222325331571,0.8193002978839707
original_glrlm_ShortRunEmphasis_32_binCount,0.8011000480726395,0.7861009879147797,0.8151562807778002
original_glrlm_ShortRunHighGrayLevelEmphasis_32_binCount,0.5559902743984534,0.5273594916341279,0.583360106890476
original_glrlm_ShortRunLowGrayLevelEmphasis_32_binCount,0.2772969255763795,0.23946469862591763,0.3142877002894037
original_glszm_GrayLevelNonUniformity_32_binCount,0.9500752227710049,0.9459732073423843,0.9538731842633584
original_glszm_GrayLevelNonUniformityNormalized_32_binCount,0.6081636808904511,0.5819938558154738,0.6330754157449234
original_glszm_GrayLevelVariance_32_binCount,0.6230891191479995,0.5976672131458868,0.6472596814483561
original_glszm_HighGrayLevelZoneEmphasis_32_binCount,0.4918365189023121,0.46050288973205894,0.5219462782938702
original_glszm_LargeAreaEmphasis_32_binCount,0.9625133643889097,0.9594119232604189,0.9653820037696431
original_glszm_LargeAreaHighGrayLevelEmphasis_32_binCount,0.9735283575615807,0.9713250049815724,0.9755645116749219
original_glszm_LargeAreaLowGrayLevelEmphasis_32_binCount,0.9078267047826115,0.9004301610295303,0.9146984478912832
original_glszm_LowGrayLevelZoneEmphasis_32_binCount,0.3279635033008659,0.29131936444509104,0.36364650417664734
original_glszm_SizeZoneNonUniformity_32_binCount,0.7695427958094181,0.7524885453792473,0.785565676289657
original_glszm_SizeZoneNonUniformityNormalized_32_binCount,0.6526263754691026,0.6287346867410296,0.6752869625824465
original_glszm_SmallAreaEmphasis_32_binCount,0.6241876072295236,0.5988142493991291,0.6483090143070732
original_glszm_SmallAreaHighGrayLevelEmphasis_32_binCount,0.5227228705352336,0.4926427563061754,0.5515554412201097
original_glszm_SmallAreaLowGrayLevelEmphasis_32_binCount,0.3690503535413798,0.33352619523228816,0.4035281619374193
original_glszm_ZoneEntropy_32_binCount,0.7720977589735145,0.7551720986829376,0.7879921743583852
original_glszm_ZonePercentage_32_binCount,0.823954284351193,0.8104957946745172,0.8365432297621722
original_glszm_ZoneVariance_32_binCount,0.9625969709674286,0.9595023036081386,0.9654593255257733
original_gldm_DependenceEntropy_32_binCount,0.7318483960941541,0.7124612110439443,0.7501193001357394
original_gldm_DependenceNonUniformity_32_binCount,0.9916616602739796,0.9909607510619568,0.9923084351311887
original_gldm_DependenceNonUniformityNormalized_32_binCount,0.8132649222943854,0.7990798814938701,0.8265450667572917
original_gldm_DependenceVariance_32_binCount,0.7839030078836611,0.7677745921447833,0.7990387356715748
original_gldm_GrayLevelNonUniformity_32_binCount,0.9905829995745755,0.9897918792126619,0.9913130813595923
original_gldm_GrayLevelVariance_32_binCount,0.7339033932898642,0.7146393281635934,0.7520551205935054
original_gldm_HighGrayLevelEmphasis_32_binCount,0.528805586093438,0.49898694193937937,0.5573739163675743
original_gldm_LargeDependenceEmphasis_32_binCount,0.8111917888655582,0.7968667705986814,0.8246052176800591
original_gldm_LargeDependenceHighGrayLevelEmphasis_32_binCount,0.6484619931734675,0.6243539404156965,0.6713361079763688
original_gldm_LargeDependenceLowGrayLevelEmphasis_32_binCount,0.42921126971155427,0.39557022027606425,0.46170171292514645
original_gldm_LowGrayLevelEmphasis_32_binCount,0.2608527931742237,0.22268400397706284,0.2982224581954641
original_gldm_SmallDependenceEmphasis_32_binCount,0.8050203097685255,0.7902807797417564,0.8188287211419691
original_gldm_SmallDependenceHighGrayLevelEmphasis_32_binCount,0.7083693744182225,0.6875870079972952,0.7279919759125546
original_gldm_SmallDependenceLowGrayLevelEmphasis_32_binCount,0.7118843420924172,0.691307683432702,0.7313072372585144
original_ngtdm_Busyness_32_binCount,0.9727125740200437,0.9704424323286127,0.9748106010145942
original_ngtdm_Coarseness_32_binCount,0.9712889289132252,0.9689020145279625,0.9734951024615514
